indic_il,age,sex,geo\time	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
S80_S20,TOTAL,F,AT	3.8 	3.7 	3.8 	4.2 b	4.1 	4.3 	4.1 	4.1 	4.1 	4.1 	3.9 	4.0 	4.3 
S80_S20,TOTAL,F,BE	3.8 	4.0 	3.8 	4.1 	3.9 	3.9 	3.8 	4.0 	3.7 	3.7 	3.7 	3.7 	3.8 
S80_S20,TOTAL,F,BG	: 	5.1 	7.0 	6.5 	6.0 	6.0 	6.5 	6.3 	6.7 	6.6 	6.9 	7.4 b	8.0 
S80_S20,TOTAL,F,CH	: 	: 	4.7 	4.9 	4.8 	4.4 	4.4 	4.3 	4.2 	4.4 b	4.4 	4.3 	: 
S80_S20,TOTAL,F,CY	4.5 	4.5 	4.7 	4.5 b	4.5 	4.7 	4.5 	4.8 	5.0 	5.5 	5.2 	4.9 	4.6 
S80_S20,TOTAL,F,CZ	3.6 	3.5 	3.5 	3.4 	3.5 	3.5 	3.5 	3.5 	3.4 	3.5 	3.5 	3.5 	3.4 
S80_S20,TOTAL,F,DE	3.7 	3.9 	4.8 	4.7 	4.4 	4.4 	4.3 	4.2 	4.5 	5.0 	4.7 	4.6 	4.4 
S80_S20,TOTAL,F,DK	3.4 	3.3 	3.6 	3.5 	4.0 	4.2 b	3.8 b	3.7 	3.7 	4.0 	4.0 	3.9 	3.9 
S80_S20,TOTAL,F,EA18	4.6 	4.6 	4.8 	4.8 	4.8 	4.8 	4.9 	4.9 	5.0 	5.1 	5.0 	5.1 	: 
S80_S20,TOTAL,F,EA19	4.6 	4.6 	4.8 	4.9 	4.8 	4.9 	4.9 	4.9 	5.0 	5.1 	5.1 	5.1 	: 
S80_S20,TOTAL,F,EE	5.6 	5.3 	5.4 	4.8 	4.8 	4.8 	5.1 	5.2 	5.3 	6.2 b	5.8 	5.3 	5.2 
S80_S20,TOTAL,F,EL	5.8 	6.1 	6.2 	5.8 	5.7 	5.6 	5.9 	6.5 	6.5 	6.3 	6.2 	6.3 	6.0 
S80_S20,TOTAL,F,ES	5.5 	5.6 	5.5 	5.6 b	5.8 	6.2 	6.2 	6.4 	6.1 	6.7 	6.6 	6.5 	6.7 
S80_S20,TOTAL,F,EU27	4.9 	4.9 s	5.0 	5.0 	4.9 	4.9 	5.0 	4.9 	4.9 	5.1 	5.1 	5.1 	: 
S80_S20,TOTAL,F,EU28	: 	: 	: 	: 	: 	4.9 	5.0 	4.9 	4.9 	5.1 	5.1 	5.1 	: 
S80_S20,TOTAL,F,FI	3.6 	3.6 	3.7 	3.7 	3.7 	3.5 	3.6 	3.6 	3.5 	3.6 	3.5 	3.5 	3.5 
S80_S20,TOTAL,F,FR	4.0 	4.0 	3.8 	4.4 b	4.4 	4.4 	4.6 	4.5 	4.5 	4.2 	4.3 	4.4 	4.4 
S80_S20,TOTAL,F,HR	: 	: 	: 	: 	: 	5.5 b	5.4 	5.3 	5.4 	5.0 	5.1 	5.0 	: 
S80_S20,TOTAL,F,HU	3.9 	5.3 	3.6 	3.5 	3.4 	3.3 	3.8 	3.9 	4.1 	4.2 	4.2 	4.2 	4.2 
S80_S20,TOTAL,F,IE	4.8 	4.7 	4.8 	4.5 	4.2 	4.7 	4.5 	4.7 	4.7 	4.9 	4.4 	4.5 	: 
S80_S20,TOTAL,F,IS	3.4 	3.7 	4.0 	3.8 	4.1 	3.5 	3.2 	3.2 	3.3 	3.0 	3.5 	3.4 p	: 
S80_S20,TOTAL,F,IT	5.6 	5.5 	5.4 	5.2 	5.4 	5.4 	5.7 	5.6 	5.8 	5.7 	5.8 	6.2 	5.8 
S80_S20,TOTAL,F,LT	6.5 	6.1 	5.8 	5.9 	5.8 	6.6 	5.7 	5.2 	5.9 	6.0 	7.2 	6.7 	6.8 
S80_S20,TOTAL,F,LU	3.8 	4.1 	3.9 	4.0 	4.3 	4.0 	3.9 	4.1 	4.4 	4.3 	4.2 	5.1 b	: 
S80_S20,TOTAL,F,LV	6.2 	7.3 	6.2 	7.2 	7.1 	6.4 	6.0 	6.1 	6.0 	6.1 	6.3 	6.1 	6.1 
S80_S20,TOTAL,F,MK	: 	: 	: 	: 	: 	: 	: 	9.8 	8.3 	7.1 	6.6 	6.6 	: 
S80_S20,TOTAL,F,MT	4.0 	4.1 	3.9 	4.3 	4.0 	4.3 	4.0 	3.9 	4.0 	4.0 	4.1 	4.2 	4.2 
S80_S20,TOTAL,F,NL	3.8 	3.8 	3.9 	4.0 	4.0 	3.7 	3.7 	3.6 	3.6 	3.8 	3.8 	3.9 b	3.9 
S80_S20,TOTAL,F,NO	3.9 	4.6 	3.5 	3.8 	3.5 	3.4 	3.2 	3.2 	3.2 	3.4 	3.5 	3.6 	3.8 
S80_S20,TOTAL,F,PL	6.4 	5.5 	5.1 	5.0 	4.9 	4.9 	4.8 	4.8 	4.8 	4.8 	4.8 	4.7 	4.4 
S80_S20,TOTAL,F,PT	7.0 	6.9 	6.6 	6.1 	6.0 	5.5 	5.6 	5.7 	5.9 	6.1 	5.9 	5.8 	5.7 
S80_S20,TOTAL,F,RO	: 	: 	8.2 	7.0 	6.6 	6.1 	6.1 	6.4 	6.7 	7.0 	8.1 	7.0 	6.4 
S80_S20,TOTAL,F,RS	: 	: 	: 	: 	: 	: 	: 	: 	8.3 	9.5 	8.8 	9.4 	: 
S80_S20,TOTAL,F,SE	3.4 	3.5 	3.3 	3.7 b	3.9 	3.8 	3.9 	3.9 	3.9 	4.1 	4.0 	4.1 	4.3 
S80_S20,TOTAL,F,SI	3.5 	3.4 	3.4 	3.4 	3.3 	3.5 	3.5 	3.5 	3.6 	3.7 	3.6 	3.5 	3.4 
S80_S20,TOTAL,F,SK	3.9 	4.0 	3.4 	3.3 	3.6 	3.7 	3.7 	3.7 	3.5 	3.8 	3.5 	3.5 	: 
S80_S20,TOTAL,F,TR	: 	11.6 	9.5 	9.4 	10.4 	9.9 	9.5 	9.3 	8.7 	8.3 	8.6 	: 	: 
S80_S20,TOTAL,F,UK	5.6 	5.3 	5.3 	5.5 	5.2 	5.2 	5.3 	4.8 b	4.6 	5.0 	5.0 	5.0 	: 
S80_S20,TOTAL,M,AT	3.8 	3.6 	3.7 	4.2 b	4.2 	4.4 	4.2 	4.2 	4.1 	4.1 	4.2 	4.2 	4.2 
S80_S20,TOTAL,M,BE	4.3 	4.4 	3.9 	4.1 	3.9 	3.9 	3.9 	3.9 	3.9 	3.9 	3.9 	3.9 	3.9 
S80_S20,TOTAL,M,BG	: 	5.2 	7.0 	6.5 	5.8 	5.7 	6.4 	6.0 	6.4 	7.0 	7.2 	8.0 b	8.4 
S80_S20,TOTAL,M,CH	: 	: 	4.8 	4.8 	4.7 	4.6 	4.6 	4.4 	4.3 	4.4 b	4.5 	4.5 	: 
S80_S20,TOTAL,M,CY	4.1 	4.1 	4.2 	4.1 b	4.3 	4.4 	4.2 	4.5 	4.8 	5.2 	5.2 	4.9 	4.5 
S80_S20,TOTAL,M,CZ	3.7 	3.5 	3.5 	3.4 	3.4 	3.4 	3.5 	3.5 	3.4 	3.5 	3.5 	3.5 	3.4 
S80_S20,TOTAL,M,DE	3.9 	4.2 	5.0 	4.8 	4.5 	4.6 	4.6 	4.4 	4.6 	5.2 	4.9 	4.7 	4.5 
S80_S20,TOTAL,M,DK	3.6 	3.6 	3.8 	3.8 	5.5 	4.6 b	4.1 b	4.2 	4.3 	4.2 	4.2 	4.2 	4.3 
S80_S20,TOTAL,M,EA18	4.7 	4.7 	4.9 	4.9 	4.8 	4.9 	5.0 	5.0 	5.1 	5.3 	5.2 	5.2 	: 
S80_S20,TOTAL,M,EA19	4.7 	4.7 	4.9 	4.9 	4.9 	4.9 	5.1 	5.0 	5.1 	5.3 	5.3 	5.2 	: 
S80_S20,TOTAL,M,EE	6.3 	5.8 	5.6 	5.1 	5.2 	5.3 	5.7 	5.7 	5.8 	6.8 b	6.6 	5.8 	5.6 
S80_S20,TOTAL,M,EL	5.7 	6.1 	5.9 	5.9 	5.8 	5.6 	6.1 	6.9 	6.6 	6.6 	6.8 	6.8 	6.3 
S80_S20,TOTAL,M,ES	5.6 	5.4 	5.4 	5.5 b	5.9 	6.2 	6.3 	6.5 	6.5 	6.9 	7.1 	6.7 	6.5 
S80_S20,TOTAL,M,EU27	5.1 	5.0 s	5.1 	5.0 	4.9 	5.0 	5.1 	5.1 	5.1 	5.3 	5.4 	5.2 	: 
S80_S20,TOTAL,M,EU28	: 	: 	: 	: 	: 	5.0 	5.1 	5.1 	5.1 	5.3 	5.4 	5.2 	: 
S80_S20,TOTAL,M,FI	3.7 	3.7 	3.7 	3.8 	3.7 	3.7 	3.8 	3.7 	3.7 	3.7 	3.6 	3.7 	3.6 
S80_S20,TOTAL,M,FR	4.0 	4.0 	3.9 	4.4 b	4.4 	4.4 	4.7 	4.6 	4.5 	4.3 	4.3 	4.3 	4.4 
S80_S20,TOTAL,M,HR	: 	: 	: 	: 	: 	5.7 b	5.5 	5.4 	5.3 	5.1 	5.2 	5.0 	: 
S80_S20,TOTAL,M,HU	4.2 	5.7 	3.7 	3.7 	3.6 	3.5 	4.1 	4.2 	4.6 	4.5 	4.5 	4.4 	4.3 
S80_S20,TOTAL,M,IE	5.2 	5.0 	4.7 	4.4 	4.3 	4.7 	4.7 	4.9 	4.8 	4.9 	4.6 	4.4 	: 
S80_S20,TOTAL,M,IS	3.7 	3.7 	3.8 	3.9 	4.3 	3.7 	3.4 	3.5 	3.5 	3.2 	3.4 	3.3 p	: 
S80_S20,TOTAL,M,IT	5.5 	5.4 	5.4 	5.2 	5.2 	5.3 	5.7 	5.6 	5.9 	5.8 	5.9 	6.3 	6.0 
S80_S20,TOTAL,M,LT	7.2 	6.5 	5.9 	6.3 	7.0 	8.3 	6.0 	5.5 	6.2 	6.1 	7.8 	7.5 	7.9 
S80_S20,TOTAL,M,LU	3.9 	4.3 	4.1 	4.1 	4.3 	4.3 	4.1 	4.2 	4.8 	4.5 	4.3 	4.8 b	: 
S80_S20,TOTAL,M,LV	7.3 	8.0 	6.5 	7.2 	7.8 	7.5 	7.2 	6.9 	6.7 	6.8 	6.6 	6.3 	6.4 
S80_S20,TOTAL,M,MK	: 	: 	: 	: 	: 	: 	: 	10.5 	8.5 	7.4 	6.6 	6.6 	: 
S80_S20,TOTAL,M,MT	3.9 	4.0 	3.9 	4.2 	4.0 	4.3 	4.0 	4.0 	4.2 	4.1 	4.2 	4.2 	4.3 
S80_S20,TOTAL,M,NL	4.2 	3.8 	4.0 	4.0 	4.0 	3.6 	3.8 	3.6 	3.6 	3.9 	3.9 	4.0 b	4.1 
S80_S20,TOTAL,M,NO	4.1 	5.1 	3.5 	3.6 	3.5 	3.4 	3.3 	3.2 	3.3 	3.4 	3.5 	3.7 	3.9 
S80_S20,TOTAL,M,PL	6.9 	5.8 	5.4 	5.3 	5.1 	5.1 	5.1 	5.1 	5.0 	5.1 	5.1 	4.9 	4.7 
S80_S20,TOTAL,M,PT	6.8 	6.6 	6.3 	6.1 	6.0 	5.6 	5.8 	5.9 	6.1 	6.3 	6.2 	5.9 	5.8 
S80_S20,TOTAL,M,RO	: 	: 	8.1 	7.0 	6.5 	6.1 	6.4 	6.8 	7.0 	7.6 	8.6 	7.5 	6.5 
S80_S20,TOTAL,M,RS	: 	: 	: 	: 	: 	: 	: 	: 	8.9 	10.1 	9.4 	10.0 	: 
S80_S20,TOTAL,M,SE	3.3 	3.7 	3.4 	3.7 b	4.0 	3.9 	4.0 	4.1 	4.0 	4.2 	4.1 	4.3 	4.2 
S80_S20,TOTAL,M,SI	3.3 	3.3 	3.2 	3.3 	3.2 	3.4 	3.4 	3.4 	3.6 	3.7 	3.6 	3.5 	3.4 
S80_S20,TOTAL,M,SK	4.0 	4.1 	3.5 	3.4 	3.6 	4.0 	3.9 	3.8 	3.7 	4.1 	3.6 	3.7 	: 
S80_S20,TOTAL,M,TR	: 	11.0 	9.2 	9.3 	10.3 	9.9 	9.6 	9.4 	8.7 	8.4 	8.6 	: 	: 
S80_S20,TOTAL,M,UK	6.2 	5.5 	5.4 	5.7 	5.3 	5.5 	5.4 	5.2 b	4.7 	5.1 	5.5 	5.3 	: 
S80_S20,TOTAL,T,AT	3.8 	3.7 	3.8 	4.2 b	4.2 	4.3 	4.1 	4.2 	4.1 	4.1 	4.0 	4.1 	4.3 
S80_S20,TOTAL,T,BE	4.0 	4.2 	3.9 	4.1 	3.9 	3.9 	3.9 	4.0 	3.8 	3.8 	3.8 	3.8 	3.8 
S80_S20,TOTAL,T,BG	: 	5.1 	7.0 	6.5 	5.9 	5.9 	6.5 	6.1 	6.6 	6.8 	7.1 	7.7 b	8.2 
S80_S20,TOTAL,T,CH	: 	: 	4.7 	4.9 	4.8 	4.5 	4.5 	4.4 	4.2 	4.4 b	4.5 	4.4 	: 
S80_S20,TOTAL,T,CY	4.3 	4.3 	4.4 	4.3 b	4.4 	4.5 	4.3 	4.7 	4.9 	5.4 	5.2 	4.9 	4.6 
S80_S20,TOTAL,T,CZ	3.7 	3.5 	3.5 	3.4 	3.5 	3.5 	3.5 	3.5 	3.4 	3.5 	3.5 	3.5 	3.4 
S80_S20,TOTAL,T,DE	3.8 	4.1 	4.9 	4.8 	4.5 	4.5 	4.5 	4.3 	4.6 	5.1 	4.8 	4.6 	4.5 
S80_S20,TOTAL,T,DK	3.5 	3.4 	3.7 	3.6 	4.6 	4.4 b	4.0 b	3.9 	4.0 	4.1 	4.1 	4.1 	4.1 
S80_S20,TOTAL,T,EA18	4.6 	4.7 	4.8 	4.9 	4.8 	4.9 	5.0 	5.0 	5.0 	5.2 	5.1 	5.1 	: 
S80_S20,TOTAL,T,EA19	4.7 	4.7 	4.8 	4.9 	4.9 	4.9 	5.0 	5.0 	5.1 	5.2 	5.2 	5.2 	: 
S80_S20,TOTAL,T,EE	5.9 	5.5 	5.5 	5.0 	5.0 	5.0 	5.3 	5.4 	5.5 	6.5 b	6.2 	5.6 	5.4 
S80_S20,TOTAL,T,EL	5.8 	6.1 	6.0 	5.9 	5.8 	5.6 	6.0 	6.6 	6.6 	6.5 	6.5 	6.6 	6.1 
S80_S20,TOTAL,T,ES	5.5 	5.5 	5.5 	5.6 b	5.9 	6.2 	6.3 	6.5 	6.3 	6.8 	6.9 	6.6 	6.6 
S80_S20,TOTAL,T,EU27	5.0 	4.9 s	5.0 	5.0 	4.9 	4.9 	5.0 	5.0 	5.0 	5.2 	5.2 	5.2 	: 
S80_S20,TOTAL,T,EU28	: 	: 	: 	: 	: 	4.9 	5.0 	5.0 	5.0 	5.2 	5.2 	5.2 	: 
S80_S20,TOTAL,T,FI	3.6 	3.6 	3.7 	3.8 	3.7 	3.6 	3.7 	3.7 	3.6 	3.6 	3.6 	3.6 	3.5 
S80_S20,TOTAL,T,FR	4.0 	4.0 	3.9 	4.4 b	4.4 	4.4 	4.6 	4.5 	4.5 	4.3 	4.3 	4.3 	4.4 
S80_S20,TOTAL,T,HR	: 	: 	: 	: 	: 	5.5 b	5.6 	5.4 	5.3 	5.1 	5.2 	5.0 	: 
S80_S20,TOTAL,T,HU	4.0 	5.5 	3.7 	3.6 	3.5 	3.4 	3.9 	4.0 	4.3 	4.3 	4.3 	4.3 	4.3 
S80_S20,TOTAL,T,IE	5.0 	4.9 	4.8 	4.4 	4.2 	4.7 	4.6 	4.8 	4.7 	4.9 	4.5 	4.4 	: 
S80_S20,TOTAL,T,IS	3.5 	3.7 	3.9 	3.8 	4.2 	3.6 	3.3 	3.4 	3.4 	3.1 	3.4 	3.3 p	: 
S80_S20,TOTAL,T,IT	5.6 	5.4 	5.4 	5.2 	5.3 	5.4 	5.7 	5.6 	5.8 	5.8 	5.8 	6.3 	5.9 
S80_S20,TOTAL,T,LT	6.9 	6.3 	5.9 	6.1 	6.4 	7.3 	5.8 	5.3 	6.1 	6.1 	7.5 	7.1 	7.3 
S80_S20,TOTAL,T,LU	3.9 	4.2 	4.0 	4.1 	4.3 	4.1 	4.0 	4.1 	4.6 	4.4 	4.3 	5.0 b	: 
S80_S20,TOTAL,T,LV	6.7 	7.8 	6.4 	7.3 	7.4 	6.8 	6.5 	6.5 	6.3 	6.5 	6.5 	6.2 	6.3 
S80_S20,TOTAL,T,MK	: 	: 	: 	: 	: 	: 	: 	10.2 	8.4 	7.2 	6.6 	6.6 	: 
S80_S20,TOTAL,T,MT	3.9 	4.0 	3.9 	4.3 	4.0 	4.3 	4.0 	3.9 	4.1 	4.0 	4.2 	4.2 	4.2 
S80_S20,TOTAL,T,NL	4.0 	3.8 	4.0 	4.0 	4.0 	3.7 	3.8 	3.6 	3.6 	3.8 	3.8 	3.9 b	4.0 
S80_S20,TOTAL,T,NO	4.1 	4.8 	3.5 	3.7 	3.5 	3.4 	3.3 	3.2 	3.3 	3.4 	3.5 	3.7 	3.9 
S80_S20,TOTAL,T,PL	6.6 	5.6 	5.3 	5.1 	5.0 	5.0 	5.0 	4.9 	4.9 	4.9 	4.9 	4.8 	4.6 
S80_S20,TOTAL,T,PT	7.0 	6.7 	6.5 	6.1 	6.0 	5.6 	5.7 	5.8 	6.0 	6.2 	6.0 	5.9 	5.7 
S80_S20,TOTAL,T,RO	: 	: 	8.1 	7.0 	6.5 	6.1 	6.2 	6.6 	6.8 	7.2 	8.3 	7.2 	6.5 
S80_S20,TOTAL,T,RS	: 	: 	: 	: 	: 	: 	: 	: 	8.6 	9.8 	9.0 	9.7 	: 
S80_S20,TOTAL,T,SE	3.3 	3.6 	3.3 	3.7 b	4.0 	3.8 	4.0 	4.0 	4.0 	4.2 	4.1 	4.3 	4.3 
S80_S20,TOTAL,T,SI	3.4 	3.4 	3.3 	3.4 	3.2 	3.4 	3.5 	3.4 	3.6 	3.7 	3.6 	3.6 	3.4 
S80_S20,TOTAL,T,SK	3.9 	4.1 	3.5 	3.4 	3.6 	3.8 	3.8 	3.7 	3.6 	3.9 	3.5 	3.6 	: 
S80_S20,TOTAL,T,TR	: 	11.3 	9.3 	9.3 	10.3 	9.9 	9.5 	9.3 	8.7 	8.3 	8.6 	: 	: 
S80_S20,TOTAL,T,UK	5.9 	5.4 	5.3 	5.6 	5.3 	5.4 	5.3 	5.0 b	4.6 	5.1 	5.2 	5.1 	: 
